,tags,name,udc
14,"['множеств', 'алгебраическ', 'определен', 'пол', 'основн', 'элемент', 'алгебр', 'явля', 'координатн', 'уравнен', 'γ', 'геометр', 'систем', 'категор', 'γ', 'уравнен', 'аффин', 'параллелепипед', 'алгебраическ', 'основн', 'элемент', 'алгебр', 'множеств', 'координатн', 'явля', 'систем', 'геометр', 'категор', 'систем', 'координатн', 'аффин', 'категор', 'основн', 'алгебраическ', 'параллелепипед', 'геометр', 'ограничен', 'алгебр', 'множеств', 'уравнен', 'явля', 'элемент', 'алгебр', 'ограничен', 'явля', 'множеств', 'систем', 'уравнен', 'элемент', 'категор', 'пуст', 'эквивалентн', 'алгебраическ', 'координатн', 'γ', 'геометр']",al-112,512
15,"['линейн', 'групп', 'унилатеральн', 'многообраз', 'выпукл', 'тождеств', 'пуст', 'упорядочен', 'элемент', 'слов', 'подгрупп', 'класс', 'явля', 'нормальн', 'выпукл', 'групп', 'класс', 'унилатеральн', 'линейн', 'элемент', 'пуст', 'многообраз', 'упорядочен', 'подгрупп', 'слов', 'явля', 'нормальн', 'тождеств', 'слов', 'групп', 'линейн', 'элемент', 'упорядочен', 'явля', 'пуст', 'унилатеральн', 'многообраз', 'класс', 'подгрупп', 'люб', 'нормальн', 'выпукл', 'групп', 'нормальн', 'линейн', 'подгрупп', 'люб', 'элемент', 'класс', 'пуст', 'слов', 'унилатеральн', 'упорядочен', 'многообраз', 'выпукл', 'явля']",al-113,512
16,"['супералгебр', 'модул', 'элемент', 'обознач', 'называ', 'те', 'соответствен', 'фактор', 'суперкомодул', 'соответств', 'определен', 'пуст', 'так', 'доказательств', 'модул', 'соответств', 'определен', 'шур', 'относительн', 'лев', 'те', 'произвольн', 'вектор', 'алгебр', 'вес', 'супералгебр', 'явля', 'суперкомодул', 'доказательств', 'суперкомодул', 'алгебр', 'элемент', 'вес', 'так', 'обознач', 'относительн', 'модул', 'борел', 'шур', 'прост', 'супералгебр', 'λ', 'явля', 'шур', 'борел', 'прост', 'алгебр', 'соответствен', 'супералгебр', 'вектор', 'модул', 'вес', 'элемент', 'суперкомодул', 'λ', 'относительн']",al-114,512
17,"['π', 'дан', 'систем', 'σ', 'явля', 'групп', 'предложен', '\uf8ed', 'полинильпотентн', '\uf8f6', 'доказа', 'ряд', 'модул', 'элемент', 'групп', 'зада', 'явля', 'пуст', 'след', 'конечн', 'ряд', 'те', 'треугольн', 'порожден', 'доказа', 'полинильпотентн', 'σ', 'модул', 'ω', 'порожден', 'предложен', 'определя', 'систем', 'σ', 'модул', 'те', '≥', 'ряд', 'дан', '\uf8ed', '\uf8f6', 'групп', 'модул', '\uf8f6', 'элемент', '\uf8ed', 'пуст', 'многообраз', 'ω', '≥', 'ряд', 'доказательств', 'π', 'след', 'групп', 'σ']",al-115,512
18,"['пуст', 'вершин', 'явля', 'коклик', 'γ', 'граф', 'содерж', 'ω', 'подграф', 'регулярн', 'лемм', 'сильн', 'параметр', 'крейн', 'ω', 'регулярн', 'лемм', 'явля', 'вершин', 'γ', 'граф', 'содерж', 'подграф', 'пуст', 'коклик', 'крейн', 'параметр', 'окрестн', 'коклик', 'ω', 'регулярн', 'крейн', 'вершин', 'γ', 'граф', 'содерж', 'подграф', 'пуст', 'явля', 'лемм', 'окрестн', 'сильн', 'граф', 'параметр', 'регулярн', 'явля', 'лемм', 'сильн', 'крейн', 'вершин', 'γ', 'подграф', 'содерж', 'ω', 'пуст', 'коклик']",al-116,519.1
19,"['вычислим', 'след', 'множеств', 'ν', 'явля', 'услов', 'пуст', 'ψ', 'последовательн', 'полурешетк', 'частичн', 'свод', 'элемент', 'верхн', 'полурешетк', 'ψ', 'пуст', 'люб', 'множеств', 'последовательн', 'частичн', 'след', 'вычислим', 'явля', 'свод', 'элемент', 'упорядочен', 'роджерс', 'услов', 'свод', 'полурешетк', 'роджерс', 'последовательн', 'след', 'частичн', 'эквивалентн', 'ν', 'множеств', 'пуст', 'явля', 'вычислим', 'ψ', 'эквивалентн', 'услов', 'след', 'люб', 'ν', 'полурешетк', 'последовательн', 'пуст', 'частичн', 'множеств', 'вычислим', 'явля', 'свод', 'ψ']",al-117,510
20,"['фактор', 'люб', 'явля', 'σ', 'натуральн', 'групп', 'подгрупп', 'лу', 'элемент', 'нормальн', 'выпукл', 'пуст', 'разрешим', 'многообраз', 'групп', 'явля', 'систем', 'нормальн', 'ступен', 'существ', 'услов', 'лу', 'люб', 'подгрупп', 'элемент', 'выпукл', 'разрешим', 'пуст', 'выпукл', 'натуральн', 'пуст', 'лу', 'подгрупп', 'люб', 'класс', 'теор', 'групп', 'элемент', 'нормальн', 'σ', 'разрешим', 'многообраз', 'элемент', 'многообраз', 'σ', 'лу', 'нормальн', 'существ', 'групп', 'пуст', 'ступен', 'подгрупп', 'выпукл', 'разрешим', 'систем', 'φ']",al-118,512
21,"['суперинтуиционистск', 'существ', '⊃', 'формул', '∇', 'алгебр', 'явля', 'конечн', 'логик', 'люб', 'подпрям', 'свойств', 'след', 'позитивн', 'так', 'гейтингов', 'проективн', 'логик', 'многообраз', 'имеет', '∇', 'след', 'расширен', 'алгебр', 'свойств', '⊃', 'люб', 'класс', 'люб', 'имеет', '⊃', 'алгебр', 'явля', 'класс', 'конечн', 'неразложим', 'логик', 'свойств', 'след', 'гейтингов', 'многообраз', 'модальн', 'свойств', 'алгебр', 'имеет', 'формул', 'суперинтуиционистск', 'класс', 'многообраз', 'существ', 'так', 'логик', 'пуст', 'люб', '⊃', 'след']",al-119,510
22,"['формул', 'γ', 'мир', 'крейг', 'характериз', 'крипк', 'шкал', 'модальн', 'имеет', 'расширен', 'имеющ', 'вид', 'логик', 'свойств', 'логик', 'модел', 'истин', 'мир', 'сгустк', 'интерполяцион', 'модальн', 'γ', 'крипк', 'имеющ', 'формул', 'шкал', 'свойств', 'крейг', 'модальн', 'свойств', 'формул', 'равн', 'вид', 'одн', 'характеризующ', 'перемен', 'γ', 'след', 'класс', 'крипк', 'логик', 'мир', 'логик', 'сгустк', 'класс', 'шкал', 'характеризующ', 'котор', 'опроверга', 'свойств', 'крипк', 'имеющ', 'люб', 'формул', 'мир', 'истин']",al-12,510
23,"['центроид', 'γ', 'определ', 'рассмотр', 'локальн', 'колец', 'представительн', 'алгебр', 'неразложим', 'пуст', 'коммутативн', 'расширен', 'фактор', 'люб', 'алгебр', 'явля', 'автоморфизм', 'пуст', 'стандартн', 'колец', 'пополнен', 'неразложим', 'правильн', 'рассмотр', 'пол', 'люб', 'локальн', 'представител', 'коммутативн', 'γ', 'котор', 'образ', 'скаляр', 'определя', 'представительн', 'представител', 'расширен', 'фактор', 'доказательств', 'алгебр', 'центроид', 'рассмотр', 'кольц', 'γ', 'услов', 'скаляр', 'расширен', 'коммутативн', 'алгебр', 'тензорн', 'стандартн', 'локальн', 'представител', 'центроид', 'групп', 'колец']",al-120,512
24,"['\uf8f6', 'кольц', 'пуст', 'групп', 'элемент', 'κ', 'производн', 'гомоморфизм', 'фокс', '\uf8f7', 'кольц', '\uf8f7', 'κ', 'производн', 'групп', 'элемент', 'гомоморфизм', 'пуст', 'фокс', '\uf8f6', '\uf8f7', 'производн', 'пуст', 'групп', 'элемент', 'κ', 'кольц', 'гомоморфизм', '\uf8f6', 'фокс', 'групп', 'κ', 'гомоморфизм', 'кольц', '\uf8f6', 'элемент', 'пуст', 'производн', '\uf8f7', 'фокс']",al-121,512
25,"['соотношен', 'порожда', 'многообраз', 'кос', 'код', 'генетическ', 'определя', 'свободн', 'элемент', 'поверхн', 'кос', 'соотношен', 'порожда', 'генетическ', 'код', 'свободн', 'многообраз', 'определя', 'элемент', 'поверхн', 'свободн', 'соотношен', 'многообраз', 'кос', 'порожда', 'генетическ', 'код', 'определя', 'поверхн', 'элемент', 'элемент', 'соотношен', 'многообраз', 'определя', 'кос', 'код', 'генетическ', 'порожда', 'поверхн', 'свободн']",al-122,512
26,"['метабелев', 'нильпотентн', 'квазимногообраз', 'пуст', 'решетк', 'кручен', 'элемент', 'абелев', 'свободн', 'порожден', 'явля', 'класс', 'решетк', 'метабелев', 'элемент', 'свободн', 'квазимногообраз', 'пуст', 'нильпотентн', 'кручен', 'порожден', 'абелев', 'явля', 'класс', 'абелев', 'элемент', 'класс', 'квазимногообраз', 'нильпотентн', 'пуст', 'решетк', 'кручен', 'порожден', 'явля', 'метабелев', 'свободн', 'пуст', 'свободн', 'класс', 'квазимногообраз', 'решетк', 'нильпотентн', 'порожден', 'кручен', 'элемент', 'явля', 'абелев', 'метабелев']",al-123,512
27,"['движен', 'поверхн', 'точк', 'некотор', 'кл', 'образ', 'групп', 'гипотез', 'прост', 'угл', 'явля', 'слов', 'отображен', 'называ', 'слов', 'называ', 'отображен', 'нетривиальн', 'движен', 'угл', 'момент', 'копредставлен', 'котор', 'групп', 'прост', 'гипотез', 'явля', 'точк', 'некотор', 'конечн', 'явля', 'гипотез', 'доказательств', 'гран', 'копредставлен', 'карт', 'групп', 'угл', 'точк', 'прост', 'отображен', 'поверхн', 'гипотез', 'образ', 'вершин', 'карт', 'котор', 'копредставлен', 'явля', 'автомобил', 'столкновен', 'доказательств', 'групп', 'угл', 'называ', 'точк']",al-124,512
28,"['люб', 'допустим', '∧', 'называ', 'логик', 'формул', 'фрейм', 'модел', 'прав', 'вывод', 'услов', 'пуст', 'определен', 'формул', 'прав', 'фрейм', 'вывод', 'пуст', 'логик', '∧', 'модел', 'люб', 'допустим', 'называ', 'услов', 'определен', 'люб', 'формул', 'называ', 'допустим', 'логик', '∧', 'модел', 'прав', 'фрейм', 'вывод', 'услов', 'пуст', 'определен', 'логик', 'пуст', 'вывод', 'называ', 'услов', '∧', 'формул', 'модел', 'прав', 'фрейм', 'допустим', 'люб', 'определен']",al-125,510
29,"['структур', 'элемент', 'ортогональн', 'минимальн', 'люб', 'очевидн', 'так', 'множеств', 'неалгебраическ', 'биекц', 'теор', 'слаб', 'явля', 'тип', 'минимальн', 'пуст', 'теор', 'лемм', 'слаб', 'доказательств', 'имеет', 'отношен', 'неалгебраическ', 'ранг', 'множеств', 'категоричн', 'определим', 'тип', 'категоричн', 'θ', 'минимальн', 'теор', 'слаб', 'лемм', 'ортогональн', 'люб', 'единствен', 'котор', 'бинарн', 'пуст', 'тип', 'явля', 'тип', 'люб', 'бинарн', 'неалгебраическ', 'множеств', 'формул', 'явля', 'доказательств', 'определим', 'существ', 'категоричн', 'биекц', 'отношен', 'имеет']",al-126,510
30,"['алгебр', 'равенств', 'имеет', 'подалгебр', 'конечн', 'формульн', 'φ', 'полурешетк', 'пол', 'пуст', 'те', 'люб', 'множеств', 'явля', 'явля', 'решетк', 'пол', 'автоморфизм', 'имеет', 'пуст', 'множеств', 'алгебр', 'подалгебр', 'φ', 'люб', 'формульн', 'булев', 'совокупн', 'φ', 'открыт', 'пол', 'булев', 'изоморфизм', 'алгебр', 'люб', 'вид', 'элемент', 'подалгебр', 'множеств', 'решетк', 'совокупн', 'явля', 'алгебр', 'подалгебр', 'полурешетк', 'вид', 'внутрен', 'φ', 'множеств', 'пол', 'формульн', 'равенств', 'формул', 'люб', 'решетк', 'явля']",al-127,512
31,"['люб', 'σ', 'множеств', 'конечн', 'так', 'явля', 'покрыт', 'непрерывн', 'след', 'ограничен', 'решетк', 'пуст', 'элемент', 'минимальн', 'решетк', 'нетеров', 'покрыт', 'частичн', 'теор', 'конечн', 'облада', 'так', 'бесконечн', 'минимальн', 'некотор', 'ограничен', 'люб', 'множеств', 'люб', 'явля', 'покрыт', 'решетк', 'ограничен', 'содерж', 'непрерывн', 'так', 'сниз', 'множеств', 'пуст', 'σ', 'упорядочен', 'называ', 'множеств', 'σ', 'явля', 'сниз', 'свойств', 'нетеров', 'пуст', 'покрыт', 'подпорядк', 'содерж', 'ограничен', 'слаб', 'решетк', 'люб']",al-128,512
32,"['прост', 'конечн', 'порядк', 'прост', 'конечн', 'порядк', 'прост', 'порядк', 'конечн', 'прост', 'конечн', 'порядк']",al-129,512
33,"['ортонормальн', 'числ', 'полиэдральн', 'действительн', 'абелев', 'некотор', 'положительн', 'существ', 'содерж', 'спрямля', 'σ', 'вектор', 'идеал', 'векторн', 'пуст', 'вектор', 'положительн', 'упорядочен', 'векторн', 'идеал', 'σ', 'некотор', 'свободн', 'полиэдральн', 'числ', 'идеа', 'люб', 'решетк', 'люб', 'существ', 'некотор', 'называ', 'свободн', 'явля', 'полож', 'решетк', 'линейн', 'поэт', 'вектор', 'векторн', 'действительн', 'идеал', 'конус', 'содерж', 'чисел', 'спрямля', 'систем', 'векторн', 'свободн', 'действительн', 'положительн', 'полиэдральн', 'существ', 'функц', 'ненулев', 'абелев']",al-130,512
34,"['⇒', '✸', 'тополог', 'доказательств', 'выполня', 'люб', 'пуст', 'множеств', 'явля', 'модел', 'те', 'базисн', 'ψ', 'пространств', 'отношен', '✸', 'следовательн', 'явля', 'упорядочен', 'пуст', 'определен', 'модел', 'люб', 'услов', 'выполня', 'подмножеств', 'исчислен', 'поскольк', 'те', 'формул', '⇐⇒', 'поскольк', 'явля', 'базисн', 'называ', 'образ', 'множеств', 'линейн', 'строг', 'шкал', 'каноническ', 'отношен', 'услов', 'существ', 'множеств', 'так', 'формул', 'отношен', 'каноническ', 'определен', 'след', 'ψ', 'доказательств', 'образ', 'поскольк', 'линейн']",al-131,512
35,"['язык', 'класс', 'выполня', 'доказательств', 'предикат', 'люб', 'существ', 'кажд', 'стабильн', 'пуст', 'счетн', 'определ', 'элиминац', 'лемм', 'модел', 'теор', 'счетн', 'пуст', 'квантор', 'стабильн', 'так', 'κ', 'содержа', 'сильн', 'множеств', 'явля', 'услов', 'замкнут', 'класс', 'предложен', 'стабильн', 'конечн', 'определим', 'выража', 'теор', 'множеств', 'так', 'выполня', 'формул', 'некотор', 'кажд', 'язык', 'язык', 'предложен', 'пуст', 'предикат', 'существ', 'теор', 'κ', 'определим', 'такж', 'выража', 'содержа', 'кажд', 'так', 'доказательств']",al-132,510
36,"['множеств', 'модул', '\uf8f6', 'произведен', 'уравнен', 'котор', 'след', 'пуст', 'свободн', 'неприводим', '\uf8f8', 'групп', 'γ', 'метабелев', '\uf8f8', 'неприводим', 'баз', 'групп', 'предложен', 'элемент', '\uf8ed', '\uf8f6', 'двух', 'уравнен', 'γ', 'пуст', 'множеств', 'свободн', 'γ', 'модул', 'алгебраическ', 'котор', 'абелев', '\uf8f8', '\uf8f6', 'баз', 'порожден', 'групп', 'пуст', 'множеств', 'свободн', 'явля', 'групп', '\uf8ed', 'свободн', 'модул', 'произведен', 'метабелев', 'котор', 'уравнен', 'неприводим', 'пуст', '\uf8f8', 'абелев', 'предложен', 'γ']",al-133,512
37,"['решетк', 'разложен', 'интерпретируем', 'множеств', 'разн', 'числ', 'многообраз', 'арифметическ', 'прост', 'чисел', 'сумм', 'подстановк', 'тип', 'явля', 'решетк', 'разн', 'прост', 'разложен', 'интерпретируем', 'чисел', 'подстановк', 'явля', 'числ', 'тип', 'множеств', 'сумм', 'двух', 'многообраз', 'множеств', 'сумм', 'тип', 'прост', 'чисел', 'теорем', 'решетк', 'разн', 'подстановк', 'явля', 'разложен', 'двух', 'числ', 'многообраз', 'прост', 'теорем', 'тип', 'чисел', 'двух', 'многообраз', 'интерпретируем', 'множеств', 'решетк', 'сумм', 'подстановк', 'разн', 'явля', 'разложен']",al-134,512
38,"['групп', 'разбиен', 'знак', 'характер', 'крюк', 'пуст', 'так', 'числ', 'диаграмм', 'предложен', 'длин', 'крюк', 'разбиен', 'предложен', 'знак', 'групп', 'пуст', 'характер', 'длин', 'числ', 'так', 'диаграмм', 'разбиен', 'крюк', 'знак', 'диаграмм', 'числ', 'длин', 'групп', 'характер', 'пуст', 'так', 'предложен', 'знак', 'предложен', 'длин', 'числ', 'разбиен', 'групп', 'характер', 'крюк', 'диаграмм', 'так', 'пуст']",al-135,512
39,"['упорядочива', 'соотношен', 'полн', 'подгрупп', 'порядков', '–', 'вопрос', 'пример', 'вложен', 'лу', 'элемент', 'линейн', 'явля', 'автоморфизм', 'соотношен', 'вопрос', 'полн', 'линейн', 'след', 'упорядочива', 'лу', 'подгрупп', 'элемент', 'явля', 'пополнен', 'упорядочен', 'порядков', 'вложен', 'лу', 'элемент', 'вопрос', 'полн', 'упорядочен', 'пополнен', 'след', 'нильпотентн', 'соотношен', 'подгрупп', 'линейн', 'упорядочива', 'явля', 'пример', 'элемент', 'вложен', 'пополнен', 'порядков', 'полн', 'явля', '–', 'упорядочива', 'лу', 'соотношен', 'вопрос', 'подгрупп', 'пример', 'линейн']",al-136,512
40,"['максимальн', 'дел', 'люб', 'так', 'групп', 'ν', 'случа', 'соответств', 'числ', 'прост', 'существ', 'конечн', 'называ', 'подгрупп', 'ν', 'групп', 'числ', 'называ', 'выш', 'кажд', 'порядк', 'делител', 'след', 'дел', 'прост', 'тор', '±', 'чисел', 'тор', 'дел', 'прост', 'тип', 'существ', 'соответств', 'имеет', 'случа', 'люб', 'выш', 'граф', 'лиев', 'называ', 'групп', 'кажд', 'граф', 'тор', 'числ', 'соответств', 'случа', 'выш', 'ν', 'тип', 'групп', '±', 'дел', 'прост', 'порядк']",al-137,512
41,"['↑', 'имеет', 'называ', 'след', 'пуст', 'гомоморфизм', 'псевдобулев', 'финитн', '⊃', 'алгебр', 'логик', 'формул', 'свойств', 'люб', 'алгебр', 'логик', 'множеств', '↑', 'свойств', 'пуст', 'имеет', 'неразложим', '⊃', 'формул', 'люб', 'явля', 'расширен', 'гомоморфизм', '⊃', 'формул', 'алгебр', 'позитивн', '↑', 'люб', 'расширен', 'псевдобулев', 'множеств', 'явля', 'называ', 'негативн', 'логик', 'свойств', 'логик', 'алгебр', 'люб', 'пуст', 'формул', 'называ', 'гомоморфизм', 'неразложим', 'φ', '⊃', '↑', 'явля', 'свойств', 'финитн']",al-138,510
42,"['инволюц', 'точн', 'поскольк', 'явля', 'имеет', 'элемент', 'полн', 'люб', 'групп', 'абелев', 'пар', 'следовательн', 'подгрупп', 'фробениус', 'абелев', 'транзитивн', 'пар', 'конечн', 'следовательн', 'точн', 'смежн', 'подгрупп', 'множеств', 'кажд', 'явля', 'дважд', 'сопряжен', 'инволюц', 'групп', 'инволюц', 'фробениус', 'лемм', 'поскольк', 'транзитивн', 'смежн', 'класс', 'дважд', 'сопряжен', 'имеет', 'подгрупп', 'пуст', 'элемент', 'групп', 'пуст', 'инволюц', 'услов', 'пар', 'полн', 'содерж', 'множеств', 'кажд', 'явля', 'совершен', 'имеет', 'лемм', 'конечн']",al-139,512
