,udc,keywords
14,517,"['индекс', 'нормальн', 'имеет', 'случа', 'тор', 'а', 'пуст', 'значен', 'ы', 'пространств', 'пар', 'принадлеж', 'плотн', 'гил', 'ядр', 'услов', 'сингулярн', 'л', 'одн', 'дифференциальн', 'люб', 'пуст', 'говор', 'решен', 'ус', 'будут', 'выража', 'ипх', 'оператор', 'х', 'имеет', 'ид', 'котор', 'ных', 'достаточн', 'абстрактн', 'комбинац', 'тод', 'следовательн', 'функционал', 'и', 'м', 'линейн', 'конечн', 'определен', 'уравнен', 'задач', 'обобщен', 'числ', 'люб', 'допуст', 'вид', 'л', 'решен', 'разрешим', 'так']"
15,517,"['\x08', '\x11', '\x02', '\x04', '\x03', '\x19\x02', '\x17\x04', '\x08\x16', '\x13', '\x03\x04\x05', '\x03\x08', '\x17\x0f\x08', '\x18\x03\x04', '\x06', '\x08', '\x03\x1b', '\x00', '\x16\x18', '\x08\x04', '\x17\x04', '\x08\x16\x08', '\x08\x16', '\x07', '\x10\x10', '\x16\x16\x18', '\x03\x08\x10', '\x17\x17\x04', '\x1b', '\x03', '\x17', '\x12', '\x05', '\x16\x1b', '\x08', '\x16', '\x11', '\x19', '\x03\x10\x08', '\x0f', '\x03\x17', '\ufeff', '\x08\x18\x04', '\x04', '\x08', '\x05', '\x00\x02', '\x17\x04', '\x08\x16', '\x0e', '\x19\x02\x02', '\x03', '\x02', '\x00', '\x17', '\x18\x19', '\x18\x04']"
16,517,"['\x02', '\x10', '\x06', '\x08', '\x06\x07', '\x15', '\x05\x06', '\x08\x08', '\x0f', '\x16', '\x17\x08', '\x04\x06', '\x06\x08', '\x04\x18', '\x17', '\x18', '\x06', '\x02', '\x08', '\x06\x08', '\x08\x06\x11', '\x08\x10', '\x05\x08\x17', '\x1b', '\x06\x1b', '\x12\x1a', 'обобщен', '\x04\x06\x04', '\x05', '\x03', '\x1b', '\x11\x1b', '\x17', '\x08\x03', 'параметр', '\x08\x08\x17', '\x12\x11', '\x08\x03\x05', '\x05\x0f\x04', '\x10\x11\x05', '\x0f', '\x08\x08\x06', '\x17', '\x16', '\x11', '\x03\x10', '\x06\x12', '\x02\x10\x08', '\x04\x10', '\x1b', '\x05\x06', '\x02', '\x10', '\x06\x08\x19', '\x04\x17', '\x12\x02']"
17,514,"['област', 'функц', 'кривизн', 'квазиконформн', 'выпукл', 'хо', 'славск', 'содерж', 'необходим', 'зада', 'имеет', 'множеств', 'преобразован', 'квазигиперболическ', 'выпукл', 'одномерн', 'произвольн', 'рх', 'е', 'услов', 'пространств', 'максимальн', 'па', 'плоскост', 'крив', 'достаточн', 'связност', 'шп', 'шп', 'пуанкар', 'дан', 'неравенств', 'лежа', 'прост', 'достаточн', 'принадлеж', 'единичн', 'центр', 'исследован', 'д', 'некотор', 'точк', 'е', 'метрик', 'равн', 'теорем', 'коэффициент', 'назов', 'компактн', 'положительн', 'вверх', 'мп', '±', 'точк', 'клас', 'точек']"
18,517,"['щ', 'явля', 'так', 'обознач', 'след', 'услов', 'р', 'штурм', 'имет', 'обозначен', 'специальн', 'воспользу', 'соответств', 'формул', 'функц', 'ных', 'комплексн', 'констант', 'решен', 'буд', 'дифференциальн', 'выдел', 'интеграл', 'существ', 'обознач', '©', 'норм', 'выполн', 'некотор', 'граничн', 'линейн', 'последн', 'норм', 'ура', 'са', 'минковск', 'гранич', 'сред', 'решен', 'параметр', 'прочита', 'тй', 'поэт', 'норм', 'дал', 'задач', 'полож', 'фу', 'хот', 'ин', 'общероссийск', 'эт', 'июн', 'фор', '€', 'занумерова']"
19,517,"['задач', 'решен', 'ок', '»', 'журнл', 'мат', 'дг', '\ufeff', 'жен', 'взяв', 'получен', 'фур', 'рассмотрен', 'ы', 'выбра', 'вид', 'дельтафункц', 'сто', 'оценк', 'удовлетвор', 'применен', 'обратн', 'з', 'ческ', 'дифференциру', 'вывест', 'лс', 'тт', 'функц', '«', 'перемен', 'многомерн', 'жп', 'дт', 'формул', 'обознач', 'задач', 'гг', 'относительн', 'координат', 'яс', 'ввод', 'уравнен', 'обратн', 'а', 'ад', 'ыг', '»«', 'индукц', 'л«', 'пр', 'предполага', 'дифференциру', 'следу', 'га', 'рх']"
20,517,"['котор', 'кожан', 'эллиптич', 'е', 'п', 'област', 'числ', 'г', 'обобщен', 'настоя', 'указа', 'повторя', 'теграл', 'конечн', 'вид', 'различн', 'рассматрива', 'перемен', 'компонент', 'существован', 'гулярн', 'произвольн', 'имеют', 'представ', 'кожан', 'шен', 'вос', 'плоскост', 'уравнен', 'задач', 'т', 'втор', 'оператор', 'выбор', 'относительн', 'так', 'дифференцируем', 'обознач', 'оценива', 'прич', 'след', 'координат', 'услов', 'производн', 'интегра', 'такж', 'а', 'положительн', 'т', 'эллиптич', 'либ', 'мног', 'множеств', 'эт', 'уравнен', 'пуст']"
21,517,"['решен', 'след', 'кажд', 'ср', 'задач', 'числ', 'уравнен', 'неустойчив', 'анализ', 'дифференц', 'счита', 'ряд', 'гостехиздат', 'начальн', 'решен', 'устойчив', 'связ', 'м', 'ядр', 'так', 'отношен', 'феврал', 'запаздыван', 'сход', 'благодар', 'постро', 'ц', 'услов', 'о', 'некотор', 'х', 'ср', 'пл', 'ил', 'обыкновен', 'котор', 'р', 'дифференциальн', 'ограничен', 'производн', 'уд', 'литератур', 'начальн', '±', 'стремлен', '–', 'постро', 'ел', 'вопрос', 'о', 'пространств', 'нелинейн', 'пример', 'став', 'е', 'принцип']"
22,510,"['φ', '∧', 'определя', 'кортеж', 'полигон', 'лемм', 'атомарн', 'так', 'множеств', 'покаж', 'работ', 'утвержден', 'след', 'равенств', 'φφ', 'теор', 'обознача', 'кортеж', 'обобщен', 'относительн', 'доказательств', 'мно', 'антиаддитивн', 'включен', 'либ', 'поскольк', 'стве', 'мальн', 'примитивн', 'следовательн', 'коп', 'формул', 'групп', 'теор', 'φ', 'буд', 'некотор', 'числ', 'обознача', 'бесконечн', 'явля', 'эквивалентн', 'эквивалентн', 'люб', 'пуст', 'предположен', 'явля', 'так', 'утвержден', 'биекц', 'жеств', 'параметр', 'упорядочен', 'услов', 'вмест', 'множеств']"
23,513.83,"['доказательств', 'направлен', 'оператор', 'пуст', 'семейств', 'понят', 'пространств', 'интегра', 'сил', 'свойств', 'интервал', 'сохранен', 'те', 'выбра', 'ультрастепен', 'увп', 'свойств', 'образ', 'существ', 'го', 'вр', 'конечн', 'имеет', 'жеств', 'некотор', 'лебег', 'перенос', 'доказа', 'котор', 'продолжен', 'бесконечн', 'всяк', 'определя', 'ным', 'обознач', 'насыщен', 'вверх', 'лемм', 'рассмотрен', 'финитн', 'услов', 'совпада', 'так', 'оператор', 'хи', 'свойств', 'положительн', 'называ', 'см', 'всяк', 'лемм', 'полож', 'люб', 'обознача', 'су', 'замечан']"
24,512,"['групп', 'длин', 'знач', 'порожден', 'лемм', 'замкнут', 'доказательств', 'откуд', 'конеч', 'функтор', 'общероссийск', 'подгруппов', 'ся', 'работ', 'так', 'лемм', 'называ', 'поскольк', 'знач', 'имеет', 'класс', 'откуд', 'нов', 'следовательн', 'след', 'говор', 'конгруэнц', 'сравнительн', 'шунк', 'символ', 'обознача', 'частност', 'следовательн', 'примитивн', 'набор', 'ка', 'случа', 'откуд', 'определен', 'сил', 'явля', 'логик', 'решетк', 'конгруэнц', 'алгебр', 'содержа', 'подсистемн', 'однак', 'групп', 'очевидн', 'числ', 'элемент', 'имеет', 'спра', 'влетворя', 'поскольк']"
25,517,"['ху', 'т', '«', 'г', 'свойств', 'формулировк', 'подынтегральн', 'лировк', 'образ', 'двух', 'стр', 'опущ', 'циальн', 'полупрям', 'систем', 'уравнен', 'вующ', 'обратн', 'зультат', 'удк', 'х', 'доказательств', 'р', 'случа', 'физматгиз', 'дифференциальн', 'сил', 'ф', 'отлич', 'филиппов', 'выполн', 'точек', 'т', 'опира', '»', 'работ', 'пробл', 'предельн', 'пуст', 'уравнен', 'диффер', 'разобра', 'точк', 'выход', 'приним', 'услов', 'вниман', 'так', 'функц', 'цикл', 'загрузк', 'см', 'прям', 'уравнен', 'обозначен', 'пуст']"
26,517,"['\x0f', '\x03\x04', '\x02\x00', '\x08\x03\x04', '\x00\x02', '\x04\x05', 'подразумева', '\x04\x10', '\x11\x11\x12', '\x02\x04', 'неравенств', '\x04\x04', 'математическ', 'разн', '\x03', '\x08', '\x05', '\x10', '\x02\x08', '\x11', '\x03\x02\x08', '\x02\x04', 'æ', '\x07\x08', '\x03\x04\x05', '\x11\x12', '\x03\x18', '\x1a', '\x10', '\x00', '\x17', '\x02\x04', '\x11\x12', '\x08\x1a\x08', 'многомерн', '\x16\x17\x18', '\x04\x08\x04', '\x02\x06\x07', '\x03\x04\x02', '\x05\x11', 'соглашен', '\x08', '\x17', '\x00', '\x03', '\x02\x03', '\x04', '\x05', '\x03\x04\x05', '\x1b\x19', '\x05\x06\x07', '\x11\x12', '\x11\x19', '\x19', 'ǳ\x02', '\x08\x02']"
27,511,"['числ', 'матриц', 'функц', 'постоя', 'пол', 'основн', 'дирихл', 'привед', 'дел', 'способ', 'снача', 'ниж', 'приступ', 'точн', 'обознач', 'неопределен', 'норм', 'цел', 'матриц', 'ратичн', 'указа', 'использован', 'завися', 'каноническ', 'повед', 'наш', 'буд', 'рол', 'форм', 'такж', 'входя', '˜', 'эргодическ', 'нечетн', 'нам', 'прич', 'чисел', 'делен', 'использова', 'игра', 'периодичн', 'период', 'формул', 'предложен', 'эквивалентн', 'нод', 'соответствен', 'квадратичн', 'загрузк', 'квадратич', 'явля', 'март', 'терминолог', 'ны', 'идет', 'уп']"
28,512,"['»', 'след', 'предложен', 'решеток', 'сниз', 'замет', 'разделя', '«о', 'интерва', 'ерш', 'имеет', 'класс', 'отсюд', 'получ', 'пуст', 'рк', 'свободн', 'меньш', 'эпиморфизм', 'вложен', 'пар', '®', 'теорем', 'порожда', 'произведен', 'противореч', 'предполож', 'сво', 'решетк', 'пуст', 'множеств', 'е', 'произведен', 'г', '¥', 'юр', 'росс', 'перенумеру', 'обознача', 'либ', 'сраз', 'мальцев', 'решетк', 'итак', '±', 'вложен', 'рт', 'диаграмм', 'соответств', 'ра', 'бодн', 'ных', 'огранич', 'аппрок', 'существован', 'логик']"
29,512,"['облада', 'преобразован', 'существ', 'инволюц', 'две', '≥', 'теор', 'абелев', 'относительн', 'шунков', 'точек', 'па', 'начин', 'проективн', 'элемент', 'сил', 'либ', 'предложен', 'гл', 'такж', 'след', 'изоморфн', 'двух', 'пуст', 'две', 'доказательств', 'построен', 'инвертируем', 'подгрупп', 'порядк', 'е', 'доказа', 'люб', 'назов', 'допустим', 'оставля', 'вдмазуров', 'конечн', 'привед', 'известн', 'индекс', 'российск', 'групп', 'явля', 'напр', 'результат', 'сил', 'точн', 'регулярн', 'пол', 'мест', 'подстановок', 'произвольн', 'те', 'аффин', 'почтипол']"
30,512,"['элемент', 'граф', 'работ', 'систем', 'логик', 'явля', 'лиш', 'представлен', 'гипотез', 'доказательств', 'теорем', 'фонд', 'размерн', 'метабелев', 'пуст', 'убыва', 'теорем', 'степен', 'числ', 'коммутир', 'доказательств', 'изоморфн', 'конечн', 'найдет', 'вершин', 'затор', 'протяжен', 'ложен', 'совпада', 'свойств', '≥', 'рав', 'поэт', 'φ', 'коммутативн', 'получ', 'определ', 'вид', 'содерж', 'указа', 'сравнен', 'действительн', 'групп', 'метабелев', 'дерев', 'порожден', 'те', 'элемент', 'строг', 'коммутант', 'частичн', 'теорем', 'различн', 'ребер', 'лев', 'ранг']"
31,517,"['поэт', 'энерг', 'стенк', 'преобразован', 'м', 'х', 'строг', 'перв', 'решен', 'гг', 'ь', 'найт', 'обознач', 'неконсервативн', 'имеет', 'рассматрива', 'действительн', 'координат', 'соответств', 'отражен', 'итак', 'пуст', 'а°', 'масштаб', 'аб', 'б', 'единиц', 'меньш', 'г', 'случа', 'х', 'преобразован', 'границ', 'запиш', 'отражен', '°', 'видн', 'замечательн', 'борелевск', 'послед', 'полугрупп', 'вмест', 'отображен', 'шар', 'рис', 'е', 'эргодическ', 'множеств', 'замен', 'пуст', 'скорост', 'вспомн', 'радиус', 'начальн', '\ufeff', 'включ']"
32,514,"['касательн', 'точк', '⊂', 'тор', 'век', 'кажд', 'пространств', '±', 'равномерн', 'выделен', 'так', 'котор', 'т', 'подпространств', 'пол', 'пространств', 'см', 'карн', 'соответств', 'горизонтальн', 'базис', 'согласова', 'вопрос', 'однак', 'област', 'напомн', 'координат', 'доказа', 'метрик', 'метрическ', 'определен', 'крив', 'доказательств', 'хаусдорф', '˙', 'пространств', 'групп', 'см', 'имеет', 'результат', 'ряд', 'завися', 'конус', 'г', 'следств', 'получа', 'подрасслоен', 'кажд', 'изоморфн', 'соответств', 'фильтрац', 'работ', '≥', 'соответствующ', 'умножен', 'д']"
33,512,"['явля', 'ˆ', 'полн', 'последовательн', 'предикат', 'мо', 'атом', 'формул', 'счита', 'след', 'ординал', 'июн', 'дальн', 'констант', 'алгебр', 'модел', 'подмножеств', 'квазирезольвентн', 'предикат', 'последовательн', 'прост', 'подалгебр', 'групп', 'отсюд', 'важн', 'поня', 'ˆ', 'следовательн', 'элемент', 'сигнатур', 'люб', 'обогащен', 'явля', 'котор', '⇔', 'конечн', 'атомн', 'но', 'дел', 'теор', 'следовательн', 'перечислим', 'доказательств', 'определен', 'формул', 'дан', 'резольвентн', 'ся', 'использу', 'вытека', 'суператомн', 'теор', 'дел', 'ершов', 'требуем', 'федерац']"
34,512,"['\x11', '\x04', '\x06', '\x02', '\x03', '\x12', '\x1a', '\x11\x11', '\x06\x12', '\x05\x16', '\x05\x1b', '\x00\x02', 'ǳ\x11', '\x06\x04\x12', '\x1b', '\x10', '\x17\x18\x03', '\x19\x05', '\x06\x04', '\x12', '\x06\x12', '\x05\x04', '\x05\x03\x04\x12', '\x16\x1b', '\x02\x12', 'ǳ\x03', '\x1a', '\x00\x02\x02\x03', '\x04', '\x02', '\x12', '\x05\x03', '\x05\x06\x08\x05', '\x16', '\x06\x04', '\x03\x02\x06\x11', '\x07', '\x19', '\x19\x05\x1a', '\x11\x12', '\x10\x12\x16', '\x08\x04', '\x02\x12', '\x17\x03', '\x00\x02', '\x06\x03', '\x14', '\x02\x05', '\x06\x03\x05', '\x17', '\x05\x06\x08\x05', '\x1b', '\x06\x04', 'параметр', '\x03\x04\x05\x06\x07\x08', '\ufeff']"
35,517,"['выходн', 'осуществлен', 'явля', 'част', 'теорем', 'пространств', 'т', 'ограничен', 'случа', 'систем', 'форм', 'дирак', 'допуска', 'справедлив', '©', 'решен', 'обознач', '°', 'функц', 'ниж', 'подтвержда', 'производн', 'замет', 'сил', 'отрезок', 'ро', 'та', 'соответствен', 'уравнен', 'сигнал', 'параметр', 'существ', 'тождеств', 'состоя', 'завис', 'указа', 'вывод', 'удовлетворя', 'интегра', 'стоя', 'тип', 'интеграл', 'класс', 'пуст', 'формул', 'реализ', 'соотношен', 'нен', 'интерес', 'дал', 'выр', 'такж', 'ьу', 'рывн', 'жен', 'подстановк']"
36,512,"['соотношен', 'первичн', 'лемм', 'теор', 'аналогичн', 'котор', 'образ', 'кос', 'интерполяц', 'заверша', 'верн', 'ал', 'ненулев', 'числ', 'дифференцирован', 'люб', 'след', 'кручен', 'выполня', 'котор', 'основн', 'йорданов', 'выбер', 'умножа', 'имеют', 'обознача', 'ассоциативн', 'удк', 'получа', 'элемент', 'вмест', 'име', 'некоммутативн', 'вывод', 'январ', 'выполня', 'дифф', 'котор', 'мат', 'ввод', '\ufeff', 'след', 'некоммутативн', 'стат', 'люб', 'сиб', 'свойств', 'центр', 'чен', 'поступ', 'сам', 'име', 'диф', 'полага', 'получа', 'превраща']"
37,512,"['пуст', 'понят', 'результат', 'произвольн', 'постро', 'групп', 'введен', 'цирован', 'широк', 'груп', 'вперв', 'ц', 'имеют', 'излож', 'люб', 'разрешим', 'введ', 'рк', 'аналогичн', 'следующ', 'кач', 'га', 'соглашен', 'тивн', 'п', 'сле', 'следовательн', 'записа', 'групп', 'ап', 'тел', 'обычн', 'па', 'теор', 'некоммутативн', 'предлож', 'х', 'ме', 'п', 'лейбниц', 'вначал', 'положительн', 'существ', 'лиш', 'содерж', 'оператор', 'тел', 'п', 'случа', 'использован', 'вмест', 'отношен', 'теорем', 'порта', 'колец', 'выбер']"
38,513.83,"['\x03', '\x03\x03', '\x06\x0f', '\x05', '\x06', '\x03\x03\x06', '\x0f', '\x11\x11', '\x00', '\x1b', '\x11', '\x06\x04\x02', '\x11\x19', '–', '\x02', '\x11\x05', '\x0f\x0f', '\x18', '\x1b', '\x17', '\x06', '\x03', '\x10', '\x03\x02', '\x02\x04\x03\x11', '\x03\x04\x03', '\x08\x02\x03', 'общероссийск', '\x03', '\x05', '\x06\x12', '\x03\x1a', '\x00\x03', '\x02', '\x06\x05\x06', '\x03\x02\x06', '\x02\x03\x02', '\x10\x06\x16', '\x03\x04\x03', 'пользовательск', '\x06\x04\x02', '\x04\x02\x19', '\x00', '\x1b', '\x03', '\x19', '\x03\x06', '\x1a', '\x11\x12', '\x02\x06', '\x16', '\x03\x1a', '\x03\x05', 'гласн', '\x18\x06\x03', '\x03\x03\x0f']"
39,512,"['пг', 'ассоциативн', 'действ', 'существ', 'м', 'работ', 'выполня', '®', 'предполож', 'пуст', 'соотношен', 'коцикл', 'втор', 'номер', 'пг', 'вектор', 'ност', 'устойчив', 'некотор', 'пу', 'аналогичн', 'п', '©', 'рактеристик', 'предполага', 'вло', 'фиксирова', 'существен', 'групп', 'многообраз', 'деформац', 'коцикл', 'котор', 'обознача', 'гладк', '®', 'втор', 'комплекс', 'кром', 'препятств', 'частност', 'такж', 'алгебр', '®', 'нильпотентн', 'котор', 'част', 'комп', 'дмодул', 'множеств', 'коцикл', 'точн', 'вопрос', 'вид', 'так', 'равенств']"
40,517,"['так', 'л', 'р', 'н', 'пуст', 'принадлеж', 'знак', 'щ', 'краев', 'принадлежат', 'отрицательн', 'грин', 'ч', 'следств', 'существован', 'элемент', 'а', 'оценк', 'получ', 'пункт', 'грин', 'квадрат', 'множеств', 'н', 'следу', 'систем', 'хот', 'х', 'задач', 'ни', 'е', 'неравенств', 'неотрицательн', 'непрерывн', 'матриц', 'вышесказа', 'выполнен', 'х', 'щ', 'особ', 'предпол', 'двухточечн', 'задач', 'област', 'х', 'операц', '«', 'теорем', 'строг', 'уравнен', 'итак', 'прочита', 'опр', 'некотор', 'отобража', 'настоя']"
